suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,product_href
YES,olive_oil_signal_match,7290016370270,זית קלמטה ללא גלעין 560 גרם,,שמן זית,"זית קלמטה ללא גלעין 560 גרם
שימורי יבנה | 560 גרם
‏13.90 ‏₪
‏2.48 ‏₪ / 100 גרם
מיקס זיתים 540 גרם
שימורי יבנה | 560 גרם
‏12.90 ‏₪
‏2.30 ‏₪ / 100 גרם
נתחי טונה בהירה בשמן זית יוחננוף 4*140 גרם
יוחננוף | 560 גרם
‏24.90 ‏₪
‏4.45 ‏₪ / 100 גרם
חטיפי פיצה זיתים
מעדנות | 650 גרם
‏30.90 ‏₪
‏32.90 ‏₪
‏4.75 ‏₪ / 100 גרם",זית קלמטה ללא גלעין 560 גרם,
YES,olive_oil_signal_match,7290117266809,נתחי טונה בהירה בשמן זית יוחננוף 4*140 גרם,,שמן זית,"נתחי טונה בהירה בשמן זית יוחננוף 4*140 גרם
יוחננוף | 560 גרם
‏24.90 ‏₪
‏4.45 ‏₪ / 100 גרם",נתחי טונה בהירה בשמן זית יוחננוף 4*140 גרם,
YES,olive_oil_signal_match,7290013068699,שמן זית אליעד 750 מל,אליעד,שמן זית כתית מעולה,"שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל",שמן זית אליעד 750 מל,
YES,olive_oil_signal_match,7290119379200,"שמן זית לחיץ 280 מ""ל",יד מרדכי,שמן זית כתית מעולה,"שמן זית לחיץ 280 מ""ל
יד מרדכי | 280 מ""ל
‏16.90 ‏₪
‏6.04 ‏₪ / 100 מ""ל","שמן זית לחיץ 280 מ""ל",
YES,olive_oil_signal_match,7290013068682,שמן זית אליעד 750 מל,אליעד,שמן זית כתית מעולה,"שמן זית אליעד 750 מל
אליעד | 750 מ""ל
‏46.90 ‏₪
‏6.25 ‏₪ / 100 מ""ל",שמן זית אליעד 750 מל,
YES,olive_oil_signal_match,7290002407454,שמן זית 750 מל זן סורי,ג'השאן,שמן זית כתית,"שמן זית 750 מל זן סורי
ג'השאן | 750 מ""ל
‏41.90 ‏₪
‏5.59 ‏₪ / 100 מ""ל",שמן זית 750 מל זן סורי,
REJECT,excluded_category,7290002692393,"שמן קנולה מועשר ""עץ הזית""",יד מרדכי,שמן זית,"שמן קנולה מועשר ""עץ הזית""
עץ הזית | 1 ליטר
‏14.90 ‏₪
‏14.90 ‏₪ / 1 ליטר
שמן שומשום לא מזוכך 250 מ""ל עץ הזית
עץ הזית | 250 גרם
‏29.90 ‏₪
‏11.96 ‏₪ / 100 גרם
זית ירוק עם עשבי תיבול עם גלעין
זיתא | 215 גרם
2 יח' ב- ‏28 ₪
‏15.90 ‏₪
‏7.40 ‏₪ / 100 גרם
תרסיס שמן זית
פאם | 148 מ""ל
במבצע ‏15.90 ₪
‏17.90 ‏₪
‏12.09 ‏₪ / 100 מ""ל
חרוזיתא זית ירוק ללא גלעין
זיתא | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
לבנה שמן זית זעתר
גד | 250 גרם
‏15.90 ‏₪
‏6.36 ‏₪ / 100 גרם
שמן למאור 1 ליטר
ירושלים שמן זית | 1 ליטר
‏12.90 ‏₪
‏12.90 ‏₪ / 1 ליטר
תרסיס שמן זית ללא תוספת גז
עץ הזית | 150 מ""ל
2 יח' ב- ‏28 ₪
‏18.90 ‏₪
‏12.60 ‏₪ / 100 מ""ל
תרסיס שמן זית 150 מ""ל
יד מרדכי | 150 מ""ל
‏17.90 ‏₪
‏11.93 ‏₪ / 100 מ""ל
קרקר קלאסי עם שמן זית זיתא 125 גרם
זיתא | 125 גרם
‏14.90 ‏₪
‏11.92 ‏₪ / 100 גרם
תרסיס שמן קנולה ""עץ הזית""
עץ הזית | 200 מ""ל
2 יח' ב- ‏28 ₪
‏15.90 ‏₪
‏7.95 ‏₪ / 100 מ""ל
שמפו שמן זית 750 מ""ל
פנינה רוזנבלום | 750 מ""ל
2 יח' ב- ‏18 ₪
‏10.90 ‏₪
‏1.45 ‏₪ / 100 מ""ל
זיתים ירוקים מבוקעים 560 גרם
בית השיטה | 560 גרם
‏11.90 ‏₪
‏2.13 ‏₪ / 100 גרם
סורי מבוקע 540 גרם
שימורי יבנה | 560 גרם
‏13.90 ‏₪
‏2.48 ‏₪ / 100 גרם
גריסיני קלאסי 125 גרם
גריסיני | 125 גרם
‏6.90 ‏₪
‏5.52 ‏₪ / 100 גרם
צ'וקטה גריסיני שמן זית 120 גרם
צ'וקטה סולטי | 120 גרם
2 יח' ב- ‏12 ₪
‏7.90 ‏₪
‏6.58 ‏₪ / 100 גרם
גריסיני עם רוזמרין 125 גרם
גריסיני | 125 גרם
‏6.90 ‏₪
‏5.52 ‏₪ / 100 גרם
פילה טונה בשמן זית 120 גרם
עץ הזית | 120 גרם
‏14.90 ‏₪
‏12.42 ‏₪ / 100 גרם
פסטה עם טונה בשמן זית טו-גו 160 גרם
עץ הזית | 160 גרם
2 יח' ב- ‏25 ₪
‏14.90 ‏₪
‏9.31 ‏₪ / 100 גרם
קוקטייל זיתים 560 גרם
בית השיטה | 560 גרם
‏14.90 ‏₪
‏2.66 ‏₪ / 100 גרם
לאבנה שמן זית וזעתר משק צוריאל 250 גרם
משק צוריאל | 250 גרם
‏15.90 ‏₪
‏6.36 ‏₪ / 100 גרם
ריו מרה טונה בשמן זית שום ופלפל 160 ג
ריו מרה | 160 גרם
‏19.50 ‏₪
‏12.19 ‏₪ / 100 גרם","שמן קנולה מועשר ""עץ הזית""",
REJECT,excluded_category,7290003438990,אוליביה עיטורי עגבניות מיובשות וזיתים,,שמן זית,"אוליביה עיטורי עגבניות מיובשות וזיתים
אוליביה | 280 גרם
‏17.50 ‏₪
‏6.25 ‏₪ / 100 גרם
כדורי בולגרית בשמן
הגבינות של ניצן | 150 גרם
‏18.90 ‏₪
‏12.60 ‏₪ / 100 גרם
טפנד זיתי קלמטה
עללחם | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
פיצה זוג זיתים יוחננוף
יוחננוף | 680 גרם
במבצע ‏27.90 ₪
‏29.90 ‏₪
‏4.40 ‏₪ / 100 גרם
מאמאמיה פיצה עם זיתים 510 גרם
מעדנות | 510 גרם
‏25.90 ‏₪
‏5.08 ‏₪ / 100 גרם
מאסטר שף ממרח זיתי קלמטה 180 גרם
מאסטר שף | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
קמיל אל סבון 1 ליטר ורוד
קמיל | 1 ליטר
‏15.90 ‏₪
‏15.90 ‏₪ / 1 ליטר
טורטיה צ'יפס מלח ים 60 גרם
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏8.90 ‏₪
‏14.83 ‏₪ / 100 גרם
בורקס פילו גבינה וזיתים
שלושת האופים | 700 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏2.41 ‏₪ / 100 גרם
נשנושי פיצה עם זיתים שגב 620 גרם
שגב | 620 גרם
2 יח' ב- ‏50 ₪
‏29.90 ‏₪
‏4.82 ‏₪ / 100 גרם
גבינת פרמז'ן משולשים יוחננוף 200 גרם
יוחננוף | 200 גרם
‏22.90 ‏₪
‏11.45 ‏₪ / 100 גרם
גבינת פרמז'ן מגורדת יוחננוף 90 גרם
יוחננוף | 90 גרם
‏18.90 ‏₪
‏21.00 ‏₪ / 100 גרם
טונה ריו מרה בשמן זית לימון ופלפל שלישייה 65*3
ריו מרה | 195 יח'
2 יח' ב- ‏50 ₪
‏28.90 ‏₪
‏0.15 ‏₪ / 1 יח'
מאסטר שף ממרח זיתים ירוקים 180 גרם
מאסטר שף | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
קוקטייל זיתים חרוזית 560 גרם בית השיטה
בית השיטה | 560 גרם
‏18.90 ‏₪
‏3.38 ‏₪ / 100 גרם
פיטנס קרקר דק זיתים 1410 גרם
פיטנס | 140 גרם
2 יח' ב- ‏18 ₪
‏11.90 ‏₪
‏8.50 ‏₪ / 100 גרם
טבעות קלמטה 626 גרם בית השיטה
בית השיטה | 626 גרם
‏15.90 ‏₪
‏2.54 ‏₪ / 100 גרם
חרוזית קלמטה 560 גרם בית השיטה
בית השיטה | 560 גרם
‏15.90 ‏₪
‏2.84 ‏₪ / 100 גרם",אוליביה עיטורי עגבניות מיובשות וזיתים,
REJECT,excluded_category,7290002627982,פיצה זוג זיתים יוחננוף,,שמן זית,"פיצה זוג זיתים יוחננוף
יוחננוף | 680 גרם
במבצע ‏27.90 ₪
‏29.90 ‏₪
‏4.40 ‏₪ / 100 גרם
מאמאמיה פיצה עם זיתים 510 גרם
מעדנות | 510 גרם
‏25.90 ‏₪
‏5.08 ‏₪ / 100 גרם
מאסטר שף ממרח זיתי קלמטה 180 גרם
מאסטר שף | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
קמיל אל סבון 1 ליטר ורוד
קמיל | 1 ליטר
‏15.90 ‏₪
‏15.90 ‏₪ / 1 ליטר
טורטיה צ'יפס מלח ים 60 גרם
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏8.90 ‏₪
‏14.83 ‏₪ / 100 גרם
בורקס פילו גבינה וזיתים
שלושת האופים | 700 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏2.41 ‏₪ / 100 גרם
נשנושי פיצה עם זיתים שגב 620 גרם
שגב | 620 גרם
2 יח' ב- ‏50 ₪
‏29.90 ‏₪
‏4.82 ‏₪ / 100 גרם
גבינת פרמז'ן משולשים יוחננוף 200 גרם
יוחננוף | 200 גרם
‏22.90 ‏₪
‏11.45 ‏₪ / 100 גרם
גבינת פרמז'ן מגורדת יוחננוף 90 גרם
יוחננוף | 90 גרם
‏18.90 ‏₪
‏21.00 ‏₪ / 100 גרם
טונה ריו מרה בשמן זית לימון ופלפל שלישייה 65*3
ריו מרה | 195 יח'
2 יח' ב- ‏50 ₪
‏28.90 ‏₪
‏0.15 ‏₪ / 1 יח'
מאסטר שף ממרח זיתים ירוקים 180 גרם
מאסטר שף | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
קוקטייל זיתים חרוזית 560 גרם בית השיטה
בית השיטה | 560 גרם
‏18.90 ‏₪
‏3.38 ‏₪ / 100 גרם
פיטנס קרקר דק זיתים 1410 גרם
פיטנס | 140 גרם
2 יח' ב- ‏18 ₪
‏11.90 ‏₪
‏8.50 ‏₪ / 100 גרם
טבעות קלמטה 626 גרם בית השיטה
בית השיטה | 626 גרם
‏15.90 ‏₪
‏2.54 ‏₪ / 100 גרם
חרוזית קלמטה 560 גרם בית השיטה
בית השיטה | 560 גרם
‏15.90 ‏₪
‏2.84 ‏₪ / 100 גרם",פיצה זוג זיתים יוחננוף,
REJECT,excluded_category,7290117265840,גבינת פרמז'ן מגורדת יוחננוף 90 גרם,,שמן זית,"גבינת פרמז'ן מגורדת יוחננוף 90 גרם
יוחננוף | 90 גרם
‏18.90 ‏₪
‏21.00 ‏₪ / 100 גרם
טונה ריו מרה בשמן זית לימון ופלפל שלישייה 65*3
ריו מרה | 195 יח'
2 יח' ב- ‏50 ₪
‏28.90 ‏₪
‏0.15 ‏₪ / 1 יח'
מאסטר שף ממרח זיתים ירוקים 180 גרם
מאסטר שף | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
קוקטייל זיתים חרוזית 560 גרם בית השיטה
בית השיטה | 560 גרם
‏18.90 ‏₪
‏3.38 ‏₪ / 100 גרם
פיטנס קרקר דק זיתים 1410 גרם
פיטנס | 140 גרם
2 יח' ב- ‏18 ₪
‏11.90 ‏₪
‏8.50 ‏₪ / 100 גרם
טבעות קלמטה 626 גרם בית השיטה
בית השיטה | 626 גרם
‏15.90 ‏₪
‏2.54 ‏₪ / 100 גרם
חרוזית קלמטה 560 גרם בית השיטה
בית השיטה | 560 גרם
‏15.90 ‏₪
‏2.84 ‏₪ / 100 גרם
טורטיה צ'יפס בטעם ברביקיו 60 גרם
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏8.90 ‏₪
‏14.83 ‏₪ / 100 גרם
רוטב פסטו דורות 160 גרם
דורות | 160 גרם
‏11.90 ‏₪
‏7.44 ‏₪ / 100 גרם
מאסטר שף ממרח פלפלים 200 גרם
מאסטר שף | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
סלט קוביות בולגרית 200 גרם
הגבינות של ניצן | 200 גרם
‏17.50 ‏₪
‏8.75 ‏₪ / 100 גרם
זוג פיצות ללא גלוטן בתוספת קמח כרובית
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
זוג פיצות מרגריטה ללא גלוטן
שי של הטבע | 440 גרם
‏29.90 ‏₪
‏6.80 ‏₪ / 100 גרם
זחוק אדום חריף
זהבי הכרם | 150 גרם
‏8.90 ‏₪
‏5.93 ‏₪ / 100 גרם
רוטב עגבניות פומודורינה 370 גרם
370 גרם
‏6.90 ‏₪
‏1.86 ‏₪ / 100 גרם
חומוס גרגירים מהמטבח של אמא
שמיר | 600 גרם
2 יח' ב- ‏24 ₪
‏13.90 ‏₪
‏2.32 ‏₪ / 100 גרם
מאסטר שף אריסה 200 גרם
מאסטר שף | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
נפוליאון בתוספת זעתר 25% שומן 225 גרם
נפוליאון | 225 גרם
‏14.60 ‏₪
‏6.49 ‏₪ / 100 גרם
פסטו ביתי
עללחם | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם
זעתר מעורב שקית 80 גרם
תבליני טעם וריח | 80 גרם
2 יח' ב- ‏10 ₪
‏6.60 ‏₪
‏8.25 ‏₪ / 100 גרם
זעתר 100 גרם
תבליני טעם וריח | 100 גרם
‏9.90 ‏₪
‏9.90 ‏₪ / 100 גרם
רוטב עגבניות ארביאטה 370 גרם
370 גרם
‏6.90 ‏₪
‏1.86 ‏₪ / 100 גרם
זחוק ירוק מקורי
זהבי הכרם | 150 גרם
‏8.90 ‏₪
‏5.93 ‏₪ / 100 גרם
סחוג אדום זהבי 150 גרם
זהבי הכרם | 150 גרם
‏8.90 ‏₪
‏5.93 ‏₪ / 100 גרם
תערובת תיבול לסטיק מונטריאול
תבליני טעם וריח | 140 גרם
‏9.90 ‏₪
‏7.07 ‏₪ / 100 גרם",גבינת פרמז'ן מגורדת יוחננוף 90 גרם,
REJECT,excluded_category,8002960103199,רוטב עגבניות פומודורינה 370 גרם,,שמן זית,"רוטב עגבניות פומודורינה 370 גרם
370 גרם
‏6.90 ‏₪
‏1.86 ‏₪ / 100 גרם",רוטב עגבניות פומודורינה 370 גרם,
REJECT,no_olive_oil_signal,7290004150853,חומוס גרגירים מהמטבח של אמא,,שמן זית,"חומוס גרגירים מהמטבח של אמא
שמיר | 600 גרם
2 יח' ב- ‏24 ₪
‏13.90 ‏₪
‏2.32 ‏₪ / 100 גרם",חומוס גרגירים מהמטבח של אמא,
REJECT,no_olive_oil_signal,7290121162623,מאסטר שף אריסה 200 גרם,,שמן זית,"מאסטר שף אריסה 200 גרם
מאסטר שף | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם",מאסטר שף אריסה 200 גרם,
REJECT,no_olive_oil_signal,7290116932644,נפוליאון בתוספת זעתר 25% שומן 225 גרם,,שמן זית,"נפוליאון בתוספת זעתר 25% שומן 225 גרם
נפוליאון | 225 גרם
‏14.60 ‏₪
‏6.49 ‏₪ / 100 גרם",נפוליאון בתוספת זעתר 25% שומן 225 גרם,
REJECT,no_olive_oil_signal,7290015858106,פסטו ביתי,,שמן זית,"פסטו ביתי
עללחם | 180 גרם
‏15.90 ‏₪
‏8.83 ‏₪ / 100 גרם",פסטו ביתי,
REJECT,no_olive_oil_signal,7290015324076,זעתר מעורב שקית 80 גרם,,שמן זית,"זעתר מעורב שקית 80 גרם
תבליני טעם וריח | 80 גרם
2 יח' ב- ‏10 ₪
‏6.60 ‏₪
‏8.25 ‏₪ / 100 גרם",זעתר מעורב שקית 80 גרם,
REJECT,no_olive_oil_signal,7290000134826,זעתר 100 גרם,,שמן זית,"זעתר 100 גרם
תבליני טעם וריח | 100 גרם
‏9.90 ‏₪
‏9.90 ‏₪ / 100 גרם",זעתר 100 גרם,
REJECT,excluded_category,8002960103205,רוטב עגבניות ארביאטה 370 גרם,,שמן זית,"רוטב עגבניות ארביאטה 370 גרם
370 גרם
‏6.90 ‏₪
‏1.86 ‏₪ / 100 גרם",רוטב עגבניות ארביאטה 370 גרם,
REJECT,no_olive_oil_signal,7290000462172,זחוק ירוק מקורי,,שמן זית,"זחוק ירוק מקורי
זהבי הכרם | 150 גרם
‏8.90 ‏₪
‏5.93 ‏₪ / 100 גרם",זחוק ירוק מקורי,
REJECT,no_olive_oil_signal,7290000462103,סחוג אדום זהבי 150 גרם,,שמן זית,"סחוג אדום זהבי 150 גרם
זהבי הכרם | 150 גרם
‏8.90 ‏₪
‏5.93 ‏₪ / 100 גרם",סחוג אדום זהבי 150 גרם,
REJECT,no_olive_oil_signal,7290020046352,תערובת תיבול לסטיק מונטריאול,,שמן זית,"תערובת תיבול לסטיק מונטריאול
תבליני טעם וריח | 140 גרם
‏9.90 ‏₪
‏7.07 ‏₪ / 100 גרם",תערובת תיבול לסטיק מונטריאול,
REJECT,no_olive_oil_signal,7290003438006,אוליביה פסטו איטלקי,,שמן זית,"אוליביה פסטו איטלקי
אוליביה | 190 גרם
במבצע ‏13.90 ₪
‏14.90 ‏₪
‏7.84 ‏₪ / 100 גרם",אוליביה פסטו איטלקי,
REJECT,no_olive_oil_signal,7290119384549,צ'יפס אורז בטעם זעתר אנרג'י 30 גרם,,שמן זית,"צ'יפס אורז בטעם זעתר אנרג'י 30 גרם
אנרג'י | 30 גרם
3 יח' ב- ‏13 ₪
‏5.50 ‏₪
‏18.33 ‏₪ / 100 גרם",צ'יפס אורז בטעם זעתר אנרג'י 30 גרם,
REJECT,no_olive_oil_signal,7290000462331,זחוק אדום חריף,,שמן זית,"זחוק אדום חריף
זהבי הכרם | 220 גרם
‏11.90 ‏₪
‏5.41 ‏₪ / 100 גרם",זחוק אדום חריף,
REJECT,no_olive_oil_signal,,זחוק ירוק חריף זהבי 220 גרם,,שמן זית,"זחוק ירוק חריף זהבי 220 גרם
זהבי | 220 גרם
‏11.90 ‏₪
‏5.41 ‏₪ / 100 גרם",זחוק ירוק חריף זהבי 220 גרם,
REJECT,excluded_category,7290015858328,איולי פסטו עללחם 295 גרם,זיתא,שמן זית,"איולי פסטו עללחם 295 גרם
עללחם | 295 גרם
‏12.90 ‏₪
‏14.90 ‏₪
‏4.37 ‏₪ / 100 גרם
פוקצ'ה פטריות כמהין 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
חומוס אבו גוש
שמיר | 500 גרם
‏14.90 ‏₪
‏2.98 ‏₪ / 100 גרם
רוטב שקשוקה חריפה זיתא 400 גרם
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
רוטב להכנת סופריטו
זיתא | 420 גרם
2 יח' ב- ‏20 ₪
‏16.90 ‏₪
‏4.02 ‏₪ / 100 גרם
רביולי בטטה
פסטה ריקו | 330 גרם
‏26.90 ‏₪
‏8.15 ‏₪ / 100 גרם
קרקר עם רוזמרין זיתא 125 גרם
זיתא | 125 גרם
‏14.90 ‏₪
‏11.92 ‏₪ / 100 גרם
אוליביה ממרח פלפל צומה
אוליביה | 185 גרם
במבצע ‏13.90 ₪
‏14.90 ‏₪
‏8.05 ‏₪ / 100 גרם
ציזיקי לשתיה 500 מ""ל
גד | 500 גרם
‏10.50 ‏₪
‏2.10 ‏₪ / 100 גרם
פסטו בקבוק לחיץ 250 מ""ל
פרסקו | 250 מ""ל
‏11.90 ‏₪
‏15.90 ‏₪
‏4.76 ‏₪ / 100 מ""ל
רוטב ישראלי לסלט
תמרה | 360 גרם
‏14.90 ‏₪
‏4.14 ‏₪ / 100 גרם
רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
צ'יפס אורז חום מלא מלח ים
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
פוקצ'ה עגבניות ובצל סגול 220 גרם
שגב | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פוקצ'ה פסטו ועגבניות 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פיצת השף 320 גרם
שגב | 320 גרם
‏15.90 ‏₪
‏4.97 ‏₪ / 100 גרם
גבינת שמנת כמהין ניו יורק 30%
גד | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
חומוס וזעתר
אחלה | 400 גרם
‏10.90 ‏₪
‏2.73 ‏₪ / 100 גרם",איולי פסטו עללחם 295 גרם,
REJECT,excluded_category,7290019233220,רוטב להכנת סופריטו,זיתא,שמן זית,"רוטב להכנת סופריטו
זיתא | 420 גרם
2 יח' ב- ‏20 ₪
‏16.90 ‏₪
‏4.02 ‏₪ / 100 גרם
רביולי בטטה
פסטה ריקו | 330 גרם
‏26.90 ‏₪
‏8.15 ‏₪ / 100 גרם
קרקר עם רוזמרין זיתא 125 גרם
זיתא | 125 גרם
‏14.90 ‏₪
‏11.92 ‏₪ / 100 גרם
אוליביה ממרח פלפל צומה
אוליביה | 185 גרם
במבצע ‏13.90 ₪
‏14.90 ‏₪
‏8.05 ‏₪ / 100 גרם
ציזיקי לשתיה 500 מ""ל
גד | 500 גרם
‏10.50 ‏₪
‏2.10 ‏₪ / 100 גרם
פסטו בקבוק לחיץ 250 מ""ל
פרסקו | 250 מ""ל
‏11.90 ‏₪
‏15.90 ‏₪
‏4.76 ‏₪ / 100 מ""ל
רוטב ישראלי לסלט
תמרה | 360 גרם
‏14.90 ‏₪
‏4.14 ‏₪ / 100 גרם
רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
צ'יפס אורז חום מלא מלח ים
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
פוקצ'ה עגבניות ובצל סגול 220 גרם
שגב | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פוקצ'ה פסטו ועגבניות 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פיצת השף 320 גרם
שגב | 320 גרם
‏15.90 ‏₪
‏4.97 ‏₪ / 100 גרם
גבינת שמנת כמהין ניו יורק 30%
גד | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
חומוס וזעתר
אחלה | 400 גרם
‏10.90 ‏₪
‏2.73 ‏₪ / 100 גרם",רוטב להכנת סופריטו,
REJECT,excluded_category,7290019233008,רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק,זיתא,שמן זית,"רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק
זיתא | 400 גרם
2 יח' ב- ‏30 ₪
‏16.90 ‏₪
‏4.23 ‏₪ / 100 גרם
צ'יפס אורז חום מלא מלח ים
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
פוקצ'ה עגבניות ובצל סגול 220 גרם
שגב | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פוקצ'ה פסטו ועגבניות 220 גרם
שלושת האופים | 220 גרם
‏12.90 ‏₪
‏5.86 ‏₪ / 100 גרם
פיצת השף 320 גרם
שגב | 320 גרם
‏15.90 ‏₪
‏4.97 ‏₪ / 100 גרם
גבינת שמנת כמהין ניו יורק 30%
גד | 200 גרם
‏15.90 ‏₪
‏7.95 ‏₪ / 100 גרם
חומוס וזעתר
אחלה | 400 גרם
‏10.90 ‏₪
‏2.73 ‏₪ / 100 גרם
פרפקטו רוטב עגבניות עם פלפלים 400 גרם
פרפקטו | 400 גרם
‏11.90 ‏₪
‏2.98 ‏₪ / 100 גרם
צ'יפס אורז חום מלא בטעם טקסס ברביקיו
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
מאסטר שף ממרח פסטו ירוק 190 גרם
מאסטר שף | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
רוטב שמנת עם פטריות 9% 258 גרם
יטבתה | 250 מ""ל
‏10.90 ‏₪
‏4.36 ‏₪ / 100 מ""ל
פרפקטו רוטב עגבניות ובזיליקום 400 גרם
פרפקטו | 400 גרם
‏11.90 ‏₪
‏2.98 ‏₪ / 100 גרם
רביולי תרד וריקוטה
פסטה ריקו | 330 גרם
‏26.90 ‏₪
‏8.15 ‏₪ / 100 גרם
עוגיות מזרחיות עם זעתר 400 גרם
אחוה | 400 גרם
2 יח' ב- ‏18 ₪
‏12.90 ‏₪
‏3.23 ‏₪ / 100 גרם
רוטב פיצה 430גר
אוליביה | 430 גרם
‏14.60 ‏₪
‏3.40 ‏₪ / 100 גרם
פלין פטריות וריקוטה בטעם כמהין
פסטה ריקו | 330 גרם
‏26.90 ‏₪
‏8.15 ‏₪ / 100 גרם
ממרח סויה 9% שומן עם שום שמיר
תנובה אלטרנטיב | 250 גרם
‏9.50 ‏₪
‏3.80 ‏₪ / 100 גרם
ריו מארה אינסלטיסימי ירקות גינה עם טונה
ריו מרה | 160 גרם
במבצע ‏15.90 ₪
‏17.90 ‏₪
‏11.19 ‏₪ / 100 גרם
זיתים בלי גלעין עם מלפפונים חמוצים 190 גרם
זיתא | 190 גרם
‏15.90 ‏₪
‏8.37 ‏₪ / 100 גרם
פיצה זוגית 2*320 גרם
יוחננוף | 640 גרם
במבצע ‏23.90 ₪
‏26.90 ‏₪
‏4.20 ‏₪ / 100 גרם
פיטנס חטיף מולטיגריין עשבי תיבול 25 גרם
פיטנס | 25 גרם
‏5.50 ‏₪
‏22.00 ‏₪ / 100 גרם
ג'ל מרוכז ועוצמתי להסרת כתמים לכביסה צבעונית 200 מ""ל
ווניש אוקסי אקשן | 200 מ""ל
במבצע ‏8.90 ₪
‏16.90 ‏₪
‏8.45 ‏₪ / 100 מ""ל
צ'יפס אורז חום מלא בטעם פפריקה
אקסטרה | 60 גרם
3 יח' ב- ‏15 ₪
‏7.90 ‏₪
‏0.13 ‏₪ / 1 גרם
פילה הרינג בסגנון מטיאס הולנדי בשמן
פל-דג | 180 גרם
‏18.90 ‏₪
‏10.50 ‏₪ / 100 גרם
פיצה מרגריטה עם זיתים 125 גרם
וילי פוד | 125 גרם
‏4.90 ‏₪
‏3.92 ‏₪ / 100 גרם
מרכך קרטין לאחר החלקה 750 מ""ל
פנינה רוזנבלום | 750 מ""ל
‏26.90 ‏₪
‏3.59 ‏₪ / 100 מ""ל",רוטב עגבניות עם קוביות ארטישוק ושמן זית זיתא - שקשוקה ארטישוק,
