barcode,score,grade,binding_cap,nova,fat_g,sat_fat_g,sugar_g,sodium_mg,context_flag
2986058,35.1,D,55,4,13.0,3.4,21.4,208.0,None
2986065,35.4,D,55,4,13.8,3.6,21.7,212.0,None
311128,29.1,E,63,2,19.4,None,23.3,220.0,None
311463,44.9,D,68.0,4,16.1,1.8,0.9,254.0,None
311708,32.0,E,45,2,22.6,10.8,21.5,238.0,None
313160,31.2,E,63,2,17.0,3.5,22.0,250.0,None
4820180816552,18.0,E,45,3,20.8,7.5,36.6,24.0,None
4820180816576,24.0,E,45,3,25.6,10.3,22.1,36.0,None
4820180816590,20.9,E,45,3,25.8,9.4,26.2,108.0,None
4823077614675,23.6,E,45,2,17.2,7.7,20.7,309.0,None
4823077614699,26.0,E,45,3,17.3,8.0,20.7,282.0,None
5317194,48.3,D,63,2,11.0,4.8,22.0,256.0,None
540160,63.1,C,None,2,12.0,1.6,0.0,120.0,None
5410126006049,18.1,E,45,3,19.0,8.0,38.1,370.0,None
5410126116168,18.1,E,45,3,19.0,8.0,38.1,370.0,None
5410126726244,18.1,E,45,3,19.0,8.0,38.1,370.0,None
5410126806250,18.1,E,45,3,19.0,8.0,38.1,370.0,None
61245,21.5,E,45,3,28.2,11.9,34.0,170.0,None
7290011489625,37.7,D,55,4,11.0,4.8,22.0,256.0,None
7290013453501,44.4,D,55,4,10.5,1.7,23.4,263.0,None
7290013453631,32.0,E,45,3,24.3,6.4,24.8,130.0,None
7290013453693,59.4,C,70,3,31.0,4.0,3.8,251.0,None
7290013740052,44.7,D,55,3,23.2,10.3,13.3,49.0,None
7290013740113,52.9,C,55,3,17.9,5.1,13.3,184.0,None
7290013740137,50.4,C,55,3,21.4,9.2,10.6,214.0,None
7290013740229,46.1,D,55,3,33.2,12.3,12.5,42.0,None
7290013740342,42.9,D,55,3,21.3,9.4,0.0,41.0,None
7290013740465,43.3,D,55,3,18.3,9.1,17.3,452.0,None
7290013740472,45.2,D,55,3,11.1,1.9,31.6,141.0,None
7290013740540,44.3,D,55,3,21.4,9.2,0.0,213.0,None
7290013740557,48.1,D,94.8,3,16.8,1.5,17.1,145.0,None
7290013740694,29.6,E,45,4,18.5,8.8,21.0,160.0,None
7290017894317,43.7,D,63,2,19.0,3.9,24.0,100.0,None
7290017898506,47.7,D,63,2,22.0,4.0,20.0,170.0,None
7290017962108,39.0,D,55,3,33.5,4.0,17.7,373.0,None
7290017962139,54.5,C,94.8,3,21.5,1.7,None,264.0,None
7290018371923,29.0,E,45,3,14.5,6.7,20.5,235.0,None
7290018371930,37.0,D,45,2,14.7,6.6,24.4,231.0,None
7290018371947,32.0,E,45,2,14.7,6.6,24.4,236.0,None
7290018893845,52.3,C,63,2,9.2,0.9,21.0,392.0,None
7290106656727,15.4,E,45,4,21.0,10.7,40.0,170.0,None
7290109354972,10,E,55,4,12.3,3.9,22.0,220.0,None
7290109354996,10.5,E,55,4,12.0,3.9,20.0,200.0,None
7290119040179,22.8,E,45,2,25.5,11.9,44.3,58.0,None
7290119040803,19.4,E,45,4,19.0,9.5,20.0,230.0,None
7290119041053,37.2,D,55,4,16.0,7.4,13.5,168.0,None
7290119041107,55.0,C,55,2,16.0,7.4,13.5,168.0,None
7290119041152,37.2,D,55,4,16.0,7.4,13.5,168.0,None
7290119041206,21.1,E,45,4,20.5,9.6,23.2,373.0,None
7290119041350,21.1,E,45,4,20.5,9.6,23.2,373.0,None
7290119043095,21.1,E,45,4,20.5,9.6,23.2,373.0,None
7290119043149,55.0,C,55,2,15.0,8.0,None,155.0,None
7290119043743,48.7,D,55,4,14.0,6.8,14.6,258.0,None
7290119043798,26.3,E,45,4,19.8,9.5,19.6,238.0,None
7290123330488,23.3,E,55,4,28.4,4.1,30.5,25.0,None
74184,38.4,D,63,2,14.0,4.0,22.0,290.0,None
80083665,34.3,E,63,2,23.0,5.0,24.0,180.0,None
80083764,55.0,C,60,2,20.0,2.3,17.0,220.0,None
8008698037171,22.8,E,45,3,28.0,16.0,20.0,220.0,None
960860015432,45.7,D,60,4,8.7,0.7,0.0,199.0,None
99804,20.6,E,45,2,24.2,13.8,37.3,383.0,None
